route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,peak_flag,fare_id,wheelchair_accessible,bikes_allowed
100001,23446,727425820,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
100001,23446,727425840,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727425930,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727425940,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
100001,23446,727425980,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727426000,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727426010,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727426030,"Kinnear Seattle Center W","",0,8023230,11001003,,101,1,1
100001,23446,727426070,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727426090,"Downtown Seattle","",1,8023230,20001002,,101,1,1
100001,23446,727426160,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,727426180,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426190,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426230,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,727426240,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426260,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426270,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426300,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,727426310,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,727426350,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426420,"Downtown Seattle","",1,8023229,20001002,,101,1,1
100001,23446,727426440,"Kinnear Seattle Center W","",0,8023229,11001003,,101,1,1
100001,23446,800531650,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,800531670,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,800531770,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,800531900,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,800531920,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,800531970,"Kinnear Seattle Center W","",0,8023231,11001003,,101,1,1
100001,23446,800532000,"Kinnear Seattle Center W","",0,8023210,11001003,,101,1,1
100001,23446,800532090,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
100001,23446,800532120,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
100001,23446,800532230,"Kinnear Seattle Center W","",0,8023209,11001003,,101,1,1
